filename,Garment_Type,Silhouette,Primary_Color,Pattern_Texture,Accessories,Footwear_Type,Style_Aesthetic,Formality_Level,Short_Description
samantha_lilac_suit.png,Blazer and Printed Dress,Fitted dress with a loose blazer,Lavender and Blue with Black and Beige accents,"Abstract and Animal print on dress, Solid color blazer","Large gold hoop earrings, Black and blue structured handbag, Sunglasses on head",Open-toe heeled sandals,"Chic and sophisticated, with a bold print statement",Business casual to semi-formal,"A chic fitted printed dress paired with a loose lavender blazer, accessorized with gold earrings, a structured handbag, and heeled sandals."
samantha_lime_jacket.png,Blazer and Pencil Skirt,Fitted,"Green (Blazer), White (Skirt)","Solid (Blazer), Subtle Check Pattern (Skirt)",Red Handbag,White Heels,Business Casual,Semi-Formal,"A fitted green blazer paired with a white pencil skirt featuring a subtle check pattern, accessorized with a red handbag and white heels, creating a polished business casual look."
samantha_pink_coat.png,Blazer and pants,"Fitted blazer, straight-leg pants","Pink (blazer), Red (pants)",Solid colors,"Blue fringe handbag, gold hoop earrings, large ring",Open-toe sandals,"Chic, colorful, modern",Smart casual,"A woman wearing a bright pink fitted blazer paired with red straight-leg pants, accessorized with a blue fringe handbag, gold hoop earrings, and red open-toe sandals."
samantha_pink_dress.png,Dress,Bodycon,Pink,Solid,"Chain belt, Long necklace",Flip-flops,"Casual, Summer",Casual,"A bright pink bodycon dress with thin straps, accessorized with a chain belt and a long necklace, paired with casual flip-flops."
samantha_pink_flapper_dress.png,Dress,Sheath,Coral,Sequined and Fringe,Clutch bag,Strappy sandals,"Elegant, Party",Semi-formal,"Coral sheath dress with sequins and fringe details, paired with strappy sandals and a clutch."
samantha_pink_green_skirt.png,Jacket and Top,Fitted,Pink,"Solid (Jacket), Patterned (Top)",None visible,Not visible,Casual Chic,Smart Casual,Fitted pink jacket paired with a patterned pink top and a green skirt.
samantha_pink_suit.png,Blazer and Pants,Tailored and Straight,Pink,Solid,"Large white handbag, Red earrings",Open-toe heels,"Chic, Bold",Business Casual,"A woman wearing a bright pink tailored double-breasted blazer with matching straight pants, accessorized with a large white handbag and red earrings, paired with open-toe heels."
samantha_purple_bodycon_dress.png,Dress,Bodycon,Lavender,Fringe,"Clutch purse, Earrings",Not visible,"Elegant, Partywear",Semi-formal,"A lavender bodycon dress with fringe detailing along the neckline, worn with a matching clutch purse and pearl earrings."
samantha_purple_dress.png,Dress,"Flowy, A-line",Lavender,"Solid, smooth fabric","Sunglasses, statement earrings, wide turquoise belt, bracelets",Open-toe sandals,"Chic, elegant",Semi-formal,"A flowy lavender halter-neck dress with a wide turquoise belt, accessorized with sunglasses, statement earrings, bracelets, and open-toe sandals."
samantha_purple_tassle_dress.png,Dress,Fitted,Purple,Solid with fringe detailing,"Clutch bag, Earrings",,"Elegant, Feminine",Semi-formal,"A fitted purple dress with thin straps and fringe detailing on the bodice, complemented by a matching clutch and earrings."
samantha_red_dress.png,Dress,Fitted,Red,Solid,"Gold bracelet, hoop earrings, zebra print handbag",Not visible,"Chic, Elegant",Semi-formal,"A woman wearing a fitted red dress with thin straps, accessorized with a gold bracelet, hoop earrings, and a zebra print handbag."
samantha_red_fan.png,Halter Top and Flared Jeans,Fitted top with flare bottom,Red (top) and Light Blue (jeans),"Solid colors, denim texture on jeans","White shoulder bag, red fan",Open-toe sandals,Casual 2000s,Casual,"Woman wearing a red halter top paired with light blue flared jeans adorned with small studs and white open-toe sandals, accessorized with a white shoulder bag and holding a red fan."
samantha_red_fan2.png,Sleeveless halter top and bootcut jeans,Fitted top with flared bottom jeans,"Red (top), Light blue (jeans)",Solid colors,"Silver shoulder bag, handheld fan, earrings",Open-toe sandals,Casual chic,Casual,"A woman wearing a fitted red sleeveless halter top paired with light blue bootcut jeans, accessorized with a silver shoulder bag, fan, earrings, and open-toe sandals, presenting a casual chic look."
samantha_red_purse.png,Quilted Jacket,Boxy,White,Textured Quilted,"Sunglasses, Large Red Clutch, Gold Hoop Earrings, Gold Watch, Wide Black Belt",Not visible,"Chic, Sophisticated",Smart Casual,"A woman wearing a white textured quilted boxy jacket with a wide black belt, accessorized with gold hoop earrings, gold watch, large red clutch, and sunglasses on her head."
samantha_red_skirt.png,Sleeveless top and midi skirt,Fitted top with flared skirt,Blue and red,Solid colors,"Blue belt, blue cuff bracelet, white shoulder bag, blue ring",White pointed-toe heels,"Chic, modern",Semi-formal,Outfit featuring a draped blue sleeveless top and red midi skirt with bright accessories and white heels.
samantha_red_stripe_pants.png,Sheer Blouse and Wide-Leg Pants,Loose,Black and Red,Animal Print (Zebra Stripes),Earrings,,"Edgy, Fashion-Forward",Casual to Semi-Formal,"A sheer black blouse worn over a black bra paired with loose, red and black animal print wide-leg pants, accessorized with statement earrings."
samantha_red_suit.png,Blouse and Pencil Skirt,Peplum with fitted pencil skirt,Red,"Solid, smooth texture","Wide belt, large statement earrings, red handbag, rings",High heels,"Power dressing, elegant",Formal,"A bold red peplum blouse paired with a matching fitted pencil skirt, accessorized with a wide belt, statement earrings, red handbag, and high heels, ideal for a formal power dressing look."
samantha_red_suit2.png,Dress with Belt,Fitted with Peplum Detail,Red,Solid,"Wide Belt, Drop Earrings",,"Power Dressing, 1980s Inspired",Semi-Formal to Formal,"Red fitted dress featuring a wide belt with an oval buckle and peplum detail at the waist, accessorized with gold drop earrings."
samantha_red_top.png,Top and Pants,Fitted top and straight-leg pants,Orange (top) and White (pants),Solid color,"Sunglasses on head, hoop earrings, ring",Not visible,"Casual, trendy",Casual,"Fitted orange spaghetti strap top with buckle detail, paired with loose-fitting white cargo pants, accessorized with sunglasses and hoop earrings."
samantha_red_top_black_skirt.png,Top,Fitted,Red,Solid,Wristwatch,,Casual,Casual,"Fitted red three-quarter sleeve top paired with a dark bottom, accessorized with a wristwatch."
samantha_red_wavy_dress.png,Mini Dress,Fitted,Red,Bold Abstract Print,"Decorative Belt with Metal Embellishments, Hoop Earrings, Wristbands",Not visible,Retro 70s/80s,Casual to Semi-Formal,"Fitted mini dress with long sleeves featuring a bold, colorful abstract print, accessorized with a decorative belt and minimal jewelry."
samantha_snakeskin_bag.png,Dress,Fitted,Beige,Metallic Shimmer,"Gold belt, gold earrings, gold bracelet, large snake pattern handbag",,"Elegant, Evening",Formal,"Fitted beige metallic shimmer dress accessorized with a gold belt, gold jewelry, and a large snake pattern handbag."
samantha_striped_dress.png,Dress,Fitted A-line,Black,White Chevron Stripes,"Sunglasses, Gold Bracelet, Beige Handbag",Beige Open-toe Heeled Sandals,"Chic, Modern",Casual to Semi-formal,"A fitted black dress with white chevron stripes, halter neckline, accessorized with beige heeled sandals and gold-tone bracelets, perfect for casual to semi-formal outings."
samantha_striped_top.png,"Button-up shirt, Jeans","Fitted top, Straight-leg pants","Black and White (top), White (pants)","Striped (top), Solid (pants)","Red belt, Red bracelet, Pearl earrings, Sunglasses, White handbag",High-heeled sandals,Casual chic,Casual,"A casual chic outfit featuring a black and white striped button-up shirt tied at the waist, paired with white straight-leg jeans, accessorized with a red belt and bracelet, pearl earrings, sunglasses, and white handbag, completed with high-heeled sandals."
samantha_tan_dress.png,Cocktail Dress,Bodycon,Beige,Sequin Embellishment,"Large Hoop Earrings, Bracelet, Glittery Purse",High Heel Sandals,"Glamorous, Partywear",Semi-Formal,"A beige bodycon cocktail dress with silver sequin embellishments, paired with clear high heel sandals and large hoop earrings."
samantha_white_coat.png,Trench Coat,Straight,Off-white,Solid,"Handbag, earrings",High-heeled slingback shoes,"Classic, Elegant",Formal,"Woman wearing an off-white double-breasted trench coat with a belt, holding a large grey handbag, paired with high-heeled slingback shoes."
samantha_white_coat2.png,"Wool Coat with Fur Trim, Patterned Trousers","Straight fit coat, straight fit trousers","White (coat), Yellow with Purple Pattern (trousers)","Solid coat with fur trim, Geometric pattern on trousers","Purple handheld bag, Purple gloves",Black heeled ankle boots,Chic and sophisticated,Semi-formal,"A woman wearing a white wool coat with fur trim at the hem, paired with yellow trousers featuring a purple geometric pattern, accessorized with purple gloves and a large purple bag, and black heeled ankle boots."
samantha_white_crop_top.png,Crop Top and Sarong,Loose and Flowing,"White (Top), Blue (Sarong)","Solid Colors, Sheer Texture on Sarong",Waist Chain,Not Visible,Beachwear / Casual,Casual,"A casual and breezy outfit featuring a loose white crop top paired with a blue sheer sarong wrapped around the waist, accessorized with a delicate waist chain."
samantha_white_set.png,Sleeveless Dress,Fitted,White,"Shimmery, Glittery","Small earrings, Handbag",Not visible,"Elegant, Eveningwear",Semi-formal to Formal,"A sleeveless, fitted white shimmery dress suitable for evening or semi-formal occasions."
samantha_white_suit.png,"Blazer, Pencil Skirt, Coat","Fitted (blazer and skirt), Oversized (coat)",White,"Solid, Smooth","Gold belt, Gold earrings, Sunglasses, Metallic handbag",Not visible,"Chic, Elegant, Power dressing",Formal,"Woman wearing a white fitted blazer and pencil skirt with an oversized white coat draped over shoulders, accessorized with a gold belt, statement gold earrings, sunglasses, and a metallic handbag."
samantha_yellow_dress.png,"Dress, Coat",A-line,Yellow,Solid with subtle texture on the coat,"White belt, large earrings, bracelet, handbag",Not clearly visible,"Chic, sophisticated",Semi-formal,"A woman wearing a yellow A-line dress paired with a textured yellow coat draped over her shoulders, accessorized with a white belt, large earrings, bracelet, and a handbag, walking a dog."
samantha_yellow_jacket.png,Jacket and Skirt,Fitted,Yellow,"Solid, Smooth","Gold shoulder bag, Shopping bags",Ankle boots with heels,"Chic, Urban",Smart casual,"Woman wearing a fitted yellow jacket paired with a black skirt and ankle boots, accessorized with a gold shoulder bag and holding shopping bags."
samantha_yellow_neon_dress.png,"Dress, Coat",A-line,Yellow,Solid with subtle texture on coat,"Large earrings, white belt, gold handbag",High heels,"Chic, Sophisticated",Semi-formal,"A woman wearing a yellow A-line dress with a white belt and a matching yellow textured coat draped over her shoulders, accessorized with large earrings and carrying a gold handbag. She is walking a small dog in a yellow outfit and wearing high heels."
samantha_yellow_pants.png,"Coat, Gloves, Pants, Handbag, Ankle Boots",Straight fit coat with tapered pants,"White (coat), Purple (gloves and handbag), Beige with purple pattern (pants), Black (boots)","Solid coat with fur trim, Geometric pattern on pants","Gold hoop earrings, Purple gloves, Purple handbag",Black ankle boots with heels,"Chic, Sophisticated",Semi-formal,"A woman wearing a white fur-trimmed coat paired with patterned beige and purple pants, accessorized with purple gloves, a matching purple handbag, gold earrings, and black heeled ankle boots."
samantha_yellow_skirt.png,Blazer and skirt,Tailored,Blue and Yellow,"Solid, smooth fabric","Blue earrings, beige clutch bag",,"Professional, business chic",Formal,"A tailored bright blue blazer paired with a fitted yellow skirt, accessorized with blue earrings and a beige clutch, creating a polished business look."
samantha_yellow_suit.png,Blazer and Pencil Skirt,Fitted with peplum detail,Yellow (blazer) and Black (skirt),Solid,"Belt, Sunglasses, Earrings, Ring, Notebook/Folder",High-heeled Peep-toe Pumps,Professional and Chic,Business Formal,"A professional and chic outfit featuring a fitted yellow blazer with peplum detail paired with a black pencil skirt, accessorized with a matching belt, silver high-heeled peep-toe pumps, and subtle jewelry."
samantha_yellow_top.png,Blouse and Pants,Fitted blouse with wide-leg pants,Yellow (top) and White (pants),"Floral pattern on blouse, solid texture on pants","Large hoop earrings, white tote bag",White open-toe sandals,Casual chic,Smart casual,"Yellow floral blouse paired with high-waisted white wide-leg pants, accessorized with large hoop earrings, a white tote bag, and white open-toe sandals."
